genre,producer,y,production
Drama,TOHO animation,2016,4
Comedy,Half H.P Studio,2016,4
School,Shochiku,2016,4
Action,DAX Production,2016,4
Supernatural,Tencent Animation,2016,4
Action,NBCUniversal Entertainment Japan,2016,4
Comedy,Dream Creation,2016,4
School,Mainichi Broadcasting System,2016,4
Shounen,Dentsu,2016,4
Supernatural,Pony Canyon,2016,4
Seinen,Lantis,2016,4
Drama,AT-X,2016,4
Sci-Fi,DAX Production,2016,4
School,TV Tokyo,2016,4
Action,Bandai Visual,2016,4
Drama,DAX Production,2016,4
Action,Kodansha,2016,4
Comedy,King Records,2016,4
Sci-Fi,Lantis,2016,4
Sci-Fi,AT-X,2016,4
Comedy,Shogakukan Productions,2016,4
Action,Pony Canyon,2016,4
Romance,DAX Production,2016,4
Comedy,Kodansha,2016,4
Sci-Fi,flying DOG,2016,4
Shounen,Shogakukan Productions,2016,4
Drama,Aniplex,2016,4
Fantasy,KlockWorx,2016,3
Horror,Mainichi Broadcasting System,2016,3
Drama,Mainichi Broadcasting System,2016,3
Drama,Warner Bros.,2016,3
Action,Tokyo MX,2016,3
Action,ABC Animation,2016,3
Romance,flying DOG,2016,3
Comedy,KlockWorx,2016,3
Action,Half H.P Studio,2016,3
Seinen,Kodansha,2016,3
School,flying DOG,2016,3
Slice of Life,Shochiku,2016,3
Magic,ABC Animation,2016,3
School,Bushiroad,2016,3
Sci-Fi,Infinite,2016,3
Sports,Earth Star Entertainment,2016,3
Shounen,DAX Production,2016,3
Adventure,Warner Bros.,2016,3
Adventure,Bandai,2016,3
Comedy,Shochiku,2016,3
Slice of Life,NHK,2016,3
Fantasy,DAX Production,2016,3
Fantasy,Sotsu,2016,3
Romance,Sotsu,2016,3
Slice of Life,Kadokawa Shoten,2016,3
Comedy,bilibili,2016,3
Comedy,Bandai,2016,3
Drama,NBCUniversal Entertainment Japan,2016,3
Romance,AT-X,2016,3
Seinen,Aniplex,2016,3
Sci-Fi,Bandai Visual,2016,3
Comedy,Mainichi Broadcasting System,2016,3
Sci-Fi,Orange,2016,3
Hentai,Media Bank,2016,3
Romance,NBCUniversal Entertainment Japan,2016,3
Fantasy,Genco,2016,3
Comedy,Kadokawa Shoten,2016,3
School,ABC Animation,2016,3
Shounen,Pony Canyon,2016,3
Slice of Life,TBS,2016,3
Comedy,Sony Music Communications,2016,3
Comedy,VAP,2016,3
Action,flying DOG,2016,3
Drama,Kyoraku Industrial Holdings,2016,3
Adventure,Mainichi Broadcasting System,2016,3
Romance,Half H.P Studio,2016,3
Sports,Tokyo MX,2016,3
Hentai,EDGE,2016,3
Action,Good Smile Company,2016,3
Supernatural,Mainichi Broadcasting System,2016,3
Mystery,TOHO animation,2016,3
Shounen,TOHO animation,2016,3
Drama,Sony Music Communications,2016,3
School,ASCII Media Works,2016,3
Comedy,TV Tokyo,2016,3
Drama,Pony Canyon,2016,3
Fantasy,TOHO animation,2016,3
Comedy,Bushiroad,2016,3
Adventure,Tokyo MX,2016,3
Romance,Lantis,2016,3
Action,Sony Music Communications,2016,3
Sci-Fi,Pony Canyon,2016,3
Seinen,King Records,2016,3
Sci-Fi,Ultra Super Pictures,2016,3
Shoujo,ABC Animation,2016,3
School,Shueisha,2016,3
Shoujo,DAX Production,2016,3
Seinen,Good Smile Company,2016,3
Fantasy,Warner Bros.,2016,3
Fantasy,Mainichi Broadcasting System,2016,3
School,BS11,2016,3
Sci-Fi,Good Smile Company,2016,3
Shounen,Earth Star Entertainment,2016,3
Supernatural,Kadokawa Shoten,2016,3
Drama,Dentsu,2016,3
Drama,Fuji TV,2016,3
Historical,NBCUniversal Entertainment Japan,2016,3
Seinen,Ultra Super Pictures,2016,3
Comedy,Yomiuri TV Enterprise,2016,3
Adventure,Half H.P Studio,2016,3
Sci-Fi,Aniplex,2016,3
Fantasy,flying DOG,2016,3
Shounen,Aniplex,2016,3
Magic,Aniplex,2016,3
School,Bandai Visual,2016,3
Action,Bushiroad,2016,3
Action,Tencent Animation,2016,3
Mystery,Glovision,2016,2
Romance,Kadokawa Shoten,2016,2
Historical,DAX Production,2016,2
Fantasy,Half H.P Studio,2016,2
Ecchi,AT-X,2016,2
School,Kodansha,2016,2
School,KlockWorx,2016,2
Action,Shueisha,2016,2
School,Sony PCL,2016,2
Comedy,Warner Bros.,2016,2
Slice of Life,Grooove,2016,2
Action,Shogakukan Productions,2016,2
Action,Anime Consortium Japan,2016,2
School,Shogakukan Productions,2016,2
Fantasy,Bandai Visual,2016,2
Military,Sotsu,2016,2
Slice of Life,TOHO animation,2016,2
Seinen,Bandai Visual,2016,2
Ecchi,Sotsu,2016,2
Sports,DAX Production,2016,2
Horror,Aniplex,2016,2
Sports,Pony Canyon,2016,2
Music,Sanrio,2016,2
Adventure,Dentsu,2016,2
Military,Warner Bros.,2016,2
Slice of Life,Half H.P Studio,2016,2
Seinen,Q-Tec,2016,2
Action,Orange,2016,2
Fantasy,Atlus,2016,2
Romance,Orange,2016,2
Romance,Mainichi Broadcasting System,2016,2
Supernatural,Sony Music Communications,2016,2
Action,ASCII Media Works,2016,2
Mecha,Lantis,2016,2
Fantasy,Ultra Super Pictures,2016,2
Romance,Tokyo MX,2016,2
Supernatural,AT-X,2016,2
Comedy,Nippon Television Network Corporation,2016,2
Shounen,Nihon Ad Systems,2016,2
Adventure,Aniplex,2016,2
Magic,VAP,2016,2
Shounen,Lantis,2016,2
Action,Glovision,2016,2
Sci-Fi,TBS,2016,2
Military,KlockWorx,2016,2
Fantasy,Magic Capsule,2016,2
Vampire,Kodansha,2016,2
Drama,TV Tokyo,2016,2
Adventure,AT-X,2016,2
Drama,Docomo Anime Store,2016,2
Drama,Bandai,2016,2
Fantasy,Tencent Animation,2016,2
Romance,Docomo Anime Store,2016,2
Music,Pony Canyon,2016,2
Action,Hakuhodo DY Music &amp; Pictures,2016,2
Adventure,Magic Capsule,2016,2
Romance,Tencent Animation,2016,2
Horror,Kodansha,2016,2
Romance,King Records,2016,2
Comedy,Ultra Super Pictures,2016,2
Hentai,T-Rex,2016,2
School,Nihon Ad Systems,2016,2
Adventure,Shogakukan Productions,2016,2
Sci-Fi,Square Enix,2016,2
Sports,Bandai Visual,2016,2
School,Dream Creation,2016,2
Comedy,Frontier Works,2016,2
Fantasy,Dentsu,2016,2
Magic,Nippon Television Network Corporation,2016,2
Seinen,Sony Music Communications,2016,2
Fantasy,Orange,2016,2
Comedy,Hakuhodo DY Music &amp; Pictures,2016,2
Music,Bandai Visual,2016,2
Drama,Sony Music Entertainment,2016,2
Sports,TV Tokyo,2016,2
Horror,KlockWorx,2016,2
Action,Fuji TV,2016,2
Drama,Sotsu,2016,2
Mystery,Lantis,2016,2
Supernatural,Docomo Anime Store,2016,2
Drama,Sammy,2016,2
Drama,Kansai Telecasting Corporation,2016,2
Sports,Nihon Ad Systems,2016,2
Seinen,Kyoraku Industrial Holdings,2016,2
Supernatural,Shogakukan Productions,2016,2
Shoujo,Frontier Works,2016,2
Romance,Pony Canyon,2016,2
Slice of Life,Dream Creation,2016,2
Sports,Sony PCL,2016,2
Action,Kadokawa Shoten,2016,2
Fantasy,Frontier Works,2016,2
Sports,Dentsu,2016,2
